_id,nombre,descripcion,responsable,__v
66139a782faede1f3891c424,Creación de la primera versión de la API,El responsable debe crear una primera versión de la API de administrador de tareas.,66139a782faede1f3891c422,0
66139ac22faede1f3891c42b,Migración de Flask a Express,"Ya que la primera versión se desarrollo usando Flask, el responsable debe adaptar la API a la estructura Express dada por el profesor.",66139ac22faede1f3891c429,0
66139b542faede1f3891c430,Desarrollar la lógica y el backend de la API ,El responsable debe desarrollar el backend y la lógica para hacer la conexión correctamente con MongoDB con la nueva estructura que se realizó en la tarea anterior.,66139a782faede1f3891c422,0
66139bdf2faede1f3891c435,Desarrollo del Frontend (Vistas EJS),"El responsable debe desarrollar las vistas de la API. Recordar usar los métodos post, put, delete y get, para poder interactuar con las tareas",66139ac22faede1f3891c429,0
66139d322faede1f3891c446,Desarrollo del Frontend (Estilos CSS),"Desarrollar los estilos para mejorar la interfaz de la API, creando botones para crear tareas, y dentro de las tareas botones de editar y eliminar.",66139a782faede1f3891c422,0
66139dda2faede1f3891c44b,Añadir nueva colección de Responsables,"Añadir la funcionalidad de agregarle un responsable a las tareas, y que estos responsables se guarden en una nueva colección en MongoDB así como las tareas. Si se crea una tarea y se usa un responsable ya creado no se deben duplicar.",66139a782faede1f3891c422,0
66139ec22faede1f3891c454,Últimos ajustes a los estilos y las vistas,Se deben ajustar las vistas y los estilos dada la nueva funcionalidad de responsables. Al mostrar las tareas también se debe mostrar el responsable de dicha tarea. También se deben hacer unos últimos ajustes a la paleta de colores en el CSS.,66139ac22faede1f3891c429,0
6613a02c2faede1f3891c459,Exportar la base de datos de MongoDB,El responsable debe exportar la base de datos para poder subirla al repositorio junto con la API.,66139a782faede1f3891c422,0
6613a0a22faede1f3891c45e,Hacer push a la rama main del repositorio,"Ya que cada uno de los colaboradores tenia su rama de trabajo, en el cual se iban agregando los cambios, el responsable de esta tarea debe hacer push de la última versión de la API a la rama main.",66139ac22faede1f3891c429,0
6613a1042faede1f3891c463,Entrega del proyecto finalizado,El responsable deberá subir el archivo .txt con el enlace al repositorio.,66139ac22faede1f3891c429,0
6613a15a2faede1f3891c46a,Revisión y Correcciones,El profesor revisará el trabajo realizado.,6613a15a2faede1f3891c468,0
